,City,State,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born,Average Household Size,State Code
588,Roanoke,Virginia,36.9,47252.0,52645.0,99897,6567.0,7346.0,2.35,VA
590,Hialeah,Florida,43.0,111530.0,125552.0,237082,1844.0,170148.0,3.31,FL
591,Lafayette,Indiana,33.5,34313.0,36857.0,71170,5045.0,5697.0,2.19,IN
594,Palm Bay,Florida,40.7,51767.0,56128.0,107895,10942.0,12070.0,2.8200000000000003,FL
609,Highlands Ranch,Colorado,39.6,49186.0,53281.0,102467,4840.0,8827.0,2.719999999999999,CO
611,Fort Collins,Colorado,29.6,80893.0,80288.0,161181,8425.0,9704.0,2.45,CO
615,Fall River,Massachusetts,39.3,43314.0,45456.0,88770,4143.0,14775.0,2.21,MA
616,Asheville,North Carolina,37.9,42100.0,46407.0,88507,4973.0,6630.0,2.18,NC
624,Jacksonville,North Carolina,24.2,40015.0,27348.0,67363,8252.0,3732.0,2.51,NC
625,El Monte,California,37.3,57961.0,58784.0,116745,1686.0,59655.0,3.67,CA
631,Santa Clarita,California,38.1,90192.0,92175.0,182367,8537.0,40666.0,3.02,CA
634,San Ramon,California,39.1,39221.0,36911.0,76132,2855.0,29691.0,3.09,CA
638,Gaithersburg,Maryland,35.7,32211.0,35234.0,67445,2126.0,28133.0,2.73,MD
639,Vista,California,29.3,50680.0,50204.0,100884,4957.0,23271.0,3.52,CA
640,Rochester,Minnesota,35.0,54934.0,57282.0,112216,6888.0,17763.0,2.55,MN
641,Arlington Heights,Illinois,45.9,37627.0,39369.0,76996,3027.0,14630.0,2.38,IL
643,Turlock,California,36.2,33190.0,39103.0,72293,3397.0,14686.0,2.76,CA
644,Bellingham,Washington,30.7,41286.0,43857.0,85143,4703.0,8713.0,2.44,WA
649,Gastonia,North Carolina,36.9,35527.0,39023.0,74550,3537.0,5715.0,2.67,NC
652,Chico,California,29.9,46168.0,44168.0,90336,4519.0,8425.0,2.5,CA
654,Allen,Texas,37.2,51324.0,46814.0,98138,3505.0,19649.0,3.04,TX
659,Miami,Florida,40.4,215840.0,225149.0,440989,7233.0,260789.0,2.5,FL
668,Naperville,Illinois,38.5,71365.0,75794.0,147159,4545.0,30399.0,2.76,IL
672,Grand Rapids,Michigan,32.1,95669.0,99430.0,195099,8972.0,19176.0,2.56,MI
678,Richardson,Texas,35.5,54676.0,56151.0,110827,4797.0,29579.0,2.83,TX
679,Yuma,Arizona,33.4,48298.0,45847.0,94145,7182.0,19326.0,2.64,AZ
680,Aurora,Illinois,31.7,101964.0,101751.0,203715,4988.0,50980.0,3.3,IL
682,Lancaster,California,30.9,80668.0,80445.0,161113,7892.0,17247.0,3.25,CA
684,Rancho Cordova,California,33.8,34844.0,36182.0,71026,4590.0,17020.0,2.86,CA
686,Goodyear,Arizona,38.6,36711.0,42292.0,79003,7650.0,11774.0,2.969999999999999,AZ
690,Clovis,California,37.8,52392.0,51780.0,104172,6173.0,13409.0,2.76,CA
693,Roseville,California,38.4,62591.0,67691.0,130282,8386.0,18161.0,2.719999999999999,CA
694,Lakewood,California,39.9,41523.0,40069.0,81592,4094.0,18274.0,3.13,CA
697,Framingham,Massachusetts,40.3,35442.0,35768.0,71210,2625.0,19070.0,2.49,MA
715,Peoria,Arizona,36.9,80139.0,91103.0,171242,13019.0,14260.0,2.969999999999999,AZ
725,Palatine,Illinois,38.0,36506.0,32763.0,69269,2629.0,21760.0,2.69,IL
726,San Angelo,Texas,32.8,49669.0,50744.0,100413,8412.0,7859.0,2.5,TX
738,San Clemente,California,45.2,34076.0,31456.0,65532,3970.0,8109.0,2.64,CA
742,Cheektowaga,New York,40.7,37476.0,38599.0,76075,5408.0,3532.0,2.3,NY
744,Plano,Texas,38.1,138565.0,145054.0,283619,11719.0,74030.0,2.65,TX
746,Merced,California,29.7,40048.0,42392.0,82440,3723.0,16348.0,3.15,CA
754,Glen Burnie,Maryland,36.5,33398.0,36461.0,69859,5298.0,6971.0,2.58,MD
755,Hesperia,California,29.4,43588.0,49698.0,93286,3739.0,16667.0,3.52,CA
757,Clifton,New Jersey,38.5,41932.0,44409.0,86341,2603.0,27979.0,3.11,NJ
760,Whittier,California,36.1,44397.0,43039.0,87436,2790.0,17145.0,3.11,CA
763,Dale City,Virginia,33.4,35984.0,35415.0,71399,6085.0,22306.0,3.65,VA
771,Hayward,California,34.3,78152.0,80148.0,158300,4385.0,60970.0,3.32,CA
777,Ann Arbor,Michigan,28.1,58789.0,58281.0,117070,3614.0,20717.0,2.17,MI
782,Hammond,Indiana,36.0,38923.0,38687.0,77610,4144.0,9224.0,2.61,IN
787,Salinas,California,30.4,77765.0,79621.0,157386,4020.0,58693.0,3.719999999999999,CA
