,City,State,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born,Average Household Size,State Code
157,Fayetteville,North Carolina,30.7,101051.0,100914.0,201965,28089.0,12863.0,2.5,NC
162,Jersey City,New Jersey,34.3,131765.0,132512.0,264277,4374.0,109186.0,2.5700000000000003,NJ
163,Westminster,Colorado,37.8,54866.0,58251.0,113117,6512.0,11361.0,2.63,CO
164,Long Beach,California,34.6,238159.0,236013.0,474172,17463.0,127764.0,2.78,CA
165,Coral Springs,Florida,37.2,63316.0,66186.0,129502,4724.0,38552.0,3.17,FL
167,Spokane Valley,Washington,36.0,49933.0,44975.0,94908,7984.0,4199.0,2.39,WA
169,San Diego,California,34.5,693826.0,701081.0,1394907,92489.0,373842.0,2.73,CA
172,Chandler,Arizona,35.6,128885.0,131948.0,260833,15870.0,38721.0,2.78,AZ
173,Pine Hills,Florida,29.2,35344.0,40737.0,76081,2594.0,20735.0,3.3,FL
175,Hawthorne,California,33.7,43682.0,44762.0,88444,2123.0,32107.0,2.969999999999999,CA
177,Tampa,Florida,35.3,175517.0,193511.0,369028,20636.0,58795.0,2.47,FL
182,Longmont,Colorado,36.8,43941.0,48280.0,92221,4925.0,10424.0,2.63,CO
184,Arden-Arcade,California,41.5,47596.0,48680.0,96276,6511.0,13458.0,2.18,CA
185,Redlands,California,36.2,33993.0,37035.0,71028,3445.0,8681.0,2.8200000000000003,CA
190,Newton,Massachusetts,42.3,41985.0,46824.0,88809,1814.0,21692.0,2.71,MA
192,Cincinnati,Ohio,32.7,143654.0,154883.0,298537,13699.0,16896.0,2.08,OH
194,Santa Rosa,California,37.9,86840.0,88149.0,174989,9101.0,33015.0,2.7,CA
195,Fairfield,California,34.7,55550.0,57422.0,112972,8607.0,24503.0,3.14,CA
196,Centennial,Colorado,42.4,53222.0,56504.0,109726,7226.0,9501.0,2.66,CO
198,New Braunfels,Texas,37.0,33071.0,36852.0,69923,5204.0,5405.0,2.85,TX
199,Elk Grove,California,36.1,80057.0,86833.0,166890,7762.0,38693.0,3.34,CA
200,Norfolk,Virginia,30.2,128917.0,117476.0,246393,29445.0,16702.0,2.51,VA
201,Pompano Beach,Florida,42.5,56569.0,51202.0,107771,5145.0,32733.0,2.55,FL
202,Redondo Beach,California,43.0,34855.0,33330.0,68185,3014.0,13536.0,2.34,CA
204,Saint Petersburg,Florida,41.8,123524.0,133564.0,257088,20247.0,28567.0,2.42,FL
205,Casas Adobes,Arizona,44.8,30890.0,34375.0,65265,6601.0,7024.0,2.24,AZ
206,Gilbert,Arizona,33.2,116711.0,130812.0,247523,10817.0,24531.0,3.2,AZ
209,Berkeley,California,32.5,60142.0,60829.0,120971,3736.0,25000.0,2.35,CA
210,Santa Clara,California,35.2,63278.0,62938.0,126216,4426.0,52281.0,2.75,CA
212,Maple Grove,Minnesota,38.6,31780.0,36601.0,68381,2943.0,7645.0,2.64,MN
213,Lynchburg,Virginia,28.7,38614.0,41198.0,79812,4322.0,4364.0,2.48,VA
216,Yonkers,New York,38.0,96580.0,104538.0,201118,4801.0,61247.0,2.8,NY
218,Toms River,New Jersey,43.7,43864.0,43886.0,87750,5042.0,6852.0,2.71,NJ
220,Cambridge,Massachusetts,31.5,55421.0,54981.0,110402,2495.0,27757.0,2.06,MA
223,Edinburg,Texas,29.3,39422.0,45079.0,84501,2409.0,16569.0,3.31,TX
225,Glendale,California,42.1,98181.0,102844.0,201025,4448.0,111510.0,2.69,CA
226,Abilene,Texas,31.3,65212.0,60664.0,125876,9367.0,8129.0,2.64,TX
230,Rockford,Illinois,36.3,71076.0,78270.0,149346,8894.0,18323.0,2.52,IL
237,San Tan Valley,Arizona,31.3,40429.0,42368.0,82797,4300.0,5757.0,3.44,AZ
239,Deerfield Beach,Florida,41.4,37155.0,42614.0,79769,3882.0,23642.0,2.46,FL
241,Alexandria,Virginia,36.6,74989.0,78522.0,153511,10635.0,44030.0,2.2,VA
243,East Los Angeles,California,32.6,60460.0,59206.0,119666,1101.0,49575.0,3.75,CA
244,Warren,Michigan,43.2,64063.0,71293.0,135356,7806.0,18822.0,2.45,MI
246,Auburn,Washington,37.1,36837.0,39743.0,76580,5401.0,14842.0,2.73,WA
247,Kissimmee,Florida,36.7,33283.0,35869.0,69152,2449.0,16879.0,3.01,FL
251,Ontario,California,31.0,85059.0,86141.0,171200,4816.0,48557.0,3.52,CA
254,Visalia,California,32.6,63695.0,66399.0,130094,5547.0,20779.0,3.11,CA
256,Kennewick,Washington,32.0,38492.0,40411.0,78903,5158.0,8376.0,2.78,WA
257,Pasadena,Texas,31.5,78827.0,74959.0,153786,5735.0,38072.0,2.95,TX
261,Clearwater,Florida,47.0,55225.0,57754.0,112979,10631.0,17686.0,2.4,FL
262,Port Saint Lucie,Florida,42.1,84069.0,95341.0,179410,12416.0,34003.0,2.91,FL
263,Pittsburg,California,34.5,33309.0,36118.0,69427,2109.0,21043.0,3.15,CA
266,North Richland Hills,Texas,39.9,35257.0,33948.0,69205,5175.0,7854.0,2.64,TX
267,Skokie,Illinois,43.4,31382.0,33437.0,64819,1066.0,27424.0,2.78,IL
268,Missouri City,Texas,37.2,34932.0,36846.0,71778,4274.0,18556.0,3.03,TX
271,Union City,California,38.5,38599.0,35911.0,74510,1440.0,32752.0,3.46,CA
273,Evansville,Indiana,38.0,57198.0,60481.0,117679,9063.0,3169.0,2.25,IN
276,Town 'n' Country,Florida,38.1,39410.0,39586.0,78996,4534.0,22135.0,2.61,FL
278,Rochester Hills,Michigan,41.2,36356.0,37076.0,73432,3053.0,13708.0,2.66,MI
280,Suffolk,Virginia,38.2,43048.0,45113.0,88161,10114.0,2829.0,2.719999999999999,VA
281,Colorado Springs,Colorado,34.8,225544.0,231018.0,456562,49291.0,35320.0,2.48,CO
283,Lewisville,Texas,31.6,52776.0,52032.0,104808,4211.0,24865.0,2.78,TX
286,Santa Maria,California,30.1,53320.0,51762.0,105082,2876.0,39192.0,3.83,CA
295,Schaumburg,Illinois,36.9,35971.0,39840.0,75811,2019.0,24614.0,2.719999999999999,IL
296,Manteca,California,35.3,37053.0,38397.0,75450,3936.0,13942.0,3.25,CA
299,Aurora,Colorado,34.2,177899.0,180971.0,358870,25158.0,65816.0,2.8200000000000003,CO
300,Rockville,Maryland,38.1,31205.0,35793.0,66998,1990.0,25047.0,2.6,MD
303,San Marcos,California,35.4,45246.0,47688.0,92934,5189.0,21558.0,3.13,CA
305,San Francisco,California,38.3,439752.0,425064.0,864816,26276.0,297199.0,2.37,CA
306,Muncie,Indiana,27.4,32446.0,37255.0,69701,2968.0,1062.0,2.35,IN
313,Ellicott City,Maryland,42.4,34406.0,36526.0,70932,3856.0,17587.0,2.73,MD
317,Fontana,California,29.5,100644.0,106828.0,207472,4076.0,61448.0,4.15,CA
319,Waukegan,Illinois,32.3,45514.0,42833.0,88347,3404.0,30997.0,2.92,IL
321,Hollywood,Florida,41.4,75358.0,74363.0,149721,6056.0,55158.0,2.65,FL
327,Killeen,Texas,29.2,69442.0,71367.0,140809,24281.0,15769.0,2.719999999999999,TX
329,Mount Vernon,New York,38.5,31876.0,36745.0,68621,2064.0,23777.0,2.85,NY
331,Akron,Ohio,38.1,96886.0,100667.0,197553,12878.0,10024.0,2.24,OH
336,Flagstaff,Arizona,23.9,33224.0,37093.0,70317,3667.0,4262.0,2.55,AZ
341,South Bend,Indiana,32.4,50483.0,53274.0,103757,3708.0,8779.0,2.719999999999999,IN
342,Livonia,Michigan,47.4,45369.0,49264.0,94633,5397.0,7175.0,2.52,MI
343,Bloomington,Minnesota,40.9,43318.0,43118.0,86436,6176.0,10728.0,2.3,MN
347,Beaumont,Texas,31.6,57326.0,60784.0,118110,7584.0,10516.0,2.47,TX
348,Phoenix,Arizona,33.8,786833.0,776168.0,1563001,72388.0,300702.0,2.89,AZ
351,Torrance,California,41.2,73209.0,75259.0,148468,8459.0,43096.0,2.7,CA
354,Loveland,Colorado,37.6,37042.0,38146.0,75188,5667.0,3050.0,2.53,CO
